CÓDIGO ;PRODUTO ;CUSTO;VENDA;DESCONTO A VISTA 
;ARRUELA ELETRODUTO CONDUITE 1.1/4 ALUMINIO;1.37;2.5;1.9571428571428575
;ARRUELA LISA PRESSAO 5/16;0.1;0.18;0.14285714285714288
;ARRUELA LISA ZINCADA 1/2;0.44;0.9;0.6285714285714287
;ARRUELA LISA ZINCADA 1/4;0.07;0.15;0.10000000000000002
;ARRUELA LISA ZINCADA 3/4;1.68;3.5;2.4
;ARRUELA LISA ZINCADA 3/8 ;0.16;0.25;0.2285714285714286
;ARRUELA LISA ZINCADA 5/16 ;0.09;0.2;0.1285714285714286
;ASCCA GRELHA COM COLETOR ANTI INSETO MONTAVEL 15X25;21.91;35.0;31.3
;ASSENTO SANITARIO ALUMASA ALMOFADADO;51.32;80.0;73.31428571428572
;ASTRA ARMARIO BANHEIRO ALUMINIO AL41*BR1;73.2;115.0;104.57142857142858
7891222121146.0;ASTRA ASSENTO SANITAQIO QUADRADO THEMA TTH/PP;52.27;81.9;74.67142857142858
7891222310007.0;ASTRA ASSENTO SANITARIO ALMOFADADO PERFUMADO TPKP*BR1;72.73;112.0;103.9
7891222039755.0;ASTRA ASSENTO SANITARIO ALMOFADADO TPK/AS;58.33;89.9;83.32857142857144
7891222126127.0;ASTRA ASSENTO SANITARIO CLASSIQUE;35.0;53.9;50.0
;ASTRA ASSENTO SANITARIO MASTER ;51.27;79.9;73.24285714285715
;ASTRA ASSENTO SANITARIO POP POPULAR;17.0;27.9;24.28571428571429
7891222044483.0;ASTRA ASSENTO SANITARIO QUADRADADO ALMOFADADO TTH/K*BCO-01;88.46;138.0;126.37142857142857
7891222292891.0;ASTRA ASSENTO SANITARIO QUADRADADO SOFT TTH/J*BCO-01;70.07;110.0;100.1
7891222222652.0;ASTRA ASSENTO SANITARIO SLIM TAJ/AS*BR1;51.22;79.9;73.17142857142858
;ASTRA ASSENTO SANITARIO SOFT;26.69;41.9;38.12857142857143
;ASTRA ASSENTO SANITARIO TALENTO OVAL;21.26;33.9;30.371428571428577
;ASTRA BACIA 14L;21.16;32.9;30.22857142857143
;ASTRA BACIA 20L;25.97;41.9;37.1
;ASTRA BACIA 25L;31.17;48.0;44.52857142857143
;ASTRA BOIA 3/4 x 1/2 TB1234;13.3;21.0;19.000000000000004
;ASTRA CAIXA BAIXA DE DESCARGA;141.17;222.0;201.67142857142858
7891222206805.0;ASTRA CAIXA DE DESCARGA 9L;30.99;45.0;44.27142857142857
;ASTRA CAIXA DE DESCARGA ACOPLADA DUPLO ACIONAMENTO CAU1;141.17;225.0;201.67142857142858
;ASTRA CAIXA DE DESCARGA ACOPLADA DUPLO ACIONAMENTO CAU2;166.29;256.0;237.55714285714285
;ASTRA SIFAO FLEXIVEL HORIZONTAL 1.1/2 BOCA LARGA;16.97;27.0;24.242857142857144
;ASTRA SIFAO FLEXIVEL HORIZONTAL 7/8'' BOCA PEQUENA;16.3;26.0;23.28571428571429
;ASTRA SIFAO SANFONADO CROMADO PRATA;10.54;19.9;15.057142857142857
;ASTRA SIFAO SANFONADO PRETO;4.92;10.0;7.028571428571429
